iter	Logloss
0	0.6820905667
1	0.6716033844
2	0.6616054236
3	0.6522943369
4	0.6435551054
5	0.6352204766
6	0.6273632645
7	0.6201262762
8	0.6132584238
9	0.6065740165
10	0.6004554053
11	0.5943751337
12	0.5889745279
13	0.5837423237
14	0.5787280911
15	0.5738595906
16	0.5692866288
17	0.5650898024
18	0.5611585324
19	0.5573708531
20	0.5538563563
21	0.55063557
22	0.5473275534
23	0.544233225
24	0.5412561093
25	0.5386756567
26	0.5360449553
27	0.533552151
28	0.5313391108
29	0.5292350825
30	0.5272253361
31	0.5254402471
32	0.5236143635
33	0.5218849035
34	0.5202530162
35	0.5187415799
36	0.5171447414
37	0.5157406978
38	0.5144857816
39	0.5130653365
40	0.5118260382
41	0.5107617229
42	0.5097642147
43	0.5087694748
44	0.5079180122
45	0.5070484245
46	0.506097561
47	0.5050140237
48	0.5042825943
49	0.5034313406
50	0.5025542312
51	0.5017589199
52	0.5010647853
53	0.5004260186
54	0.4997889756
55	0.4991490597
56	0.4985193817
57	0.4981305535
58	0.4976290049
59	0.4971045779
60	0.4966296684
61	0.4961913227
62	0.4957223679
63	0.4951882254
64	0.494835752
65	0.4943237566
66	0.4939186837
67	0.4936245554
68	0.4933776986
69	0.4929849007
70	0.4925431597
71	0.4922682534
72	0.4918975504
73	0.4915544267
74	0.4912002818
75	0.490953634
76	0.4906674974
77	0.4904967452
78	0.4902029825
79	0.4900072103
80	0.489734968
81	0.4894431379
82	0.4892257932
83	0.4890178506
84	0.4887885966
85	0.4886010251
86	0.4883369312
87	0.4881106545
88	0.4878302637
89	0.4876594592
90	0.4874983703
91	0.4873623536
92	0.4871347188
93	0.4868752215
94	0.4866069488
95	0.4863744564
96	0.4862190609
97	0.4860566139
98	0.485884817
99	0.4856721734
100	0.4855429993
101	0.485254251
102	0.4850592623
103	0.4849040758
104	0.484738547
105	0.4845160312
106	0.4842893889
107	0.4840951315
108	0.4839617264
109	0.4837463144
110	0.4836279527
111	0.4834456568
112	0.4832775686
113	0.4830636191
114	0.4828407898
115	0.4826040664
116	0.4824787576
117	0.4822890968
118	0.4821551172
119	0.4820320544
120	0.4819662921
121	0.4817609089
122	0.4816085953
123	0.4814494912
124	0.4813052738
125	0.4811736969
126	0.4809435549
127	0.4808316702
128	0.4805914471
129	0.4804353204
130	0.4801613543
131	0.4799065057
132	0.4797086442
133	0.4795791567
134	0.4793906973
135	0.4792771933
136	0.4791498996
137	0.4790274114
138	0.4789548587
139	0.4788681507
140	0.4787183965
141	0.4785726643
142	0.4783935025
143	0.4782893483
144	0.4781088284
145	0.477931547
146	0.477782733
147	0.4775424577
148	0.4773602663
149	0.4771705533
150	0.476922234
151	0.4768305637
152	0.4767070831
153	0.4765700217
154	0.476470673
