iter	Passed	Remaining
0	7	7717
1	15	7587
2	22	7563
3	30	7556
4	37	7524
5	45	7503
6	52	7487
7	60	7457
8	66	7356
9	75	7452
10	82	7449
11	90	7455
12	97	7421
13	105	7425
14	112	7419
15	120	7423
16	127	7390
17	135	7384
18	142	7351
19	149	7336
20	157	7341
21	164	7315
22	172	7317
23	179	7301
24	186	7281
25	193	7264
26	201	7249
27	208	7242
28	215	7230
29	223	7211
30	230	7203
31	237	7190
32	244	7178
33	252	7172
34	259	7166
35	266	7148
36	274	7143
37	281	7135
38	289	7124
39	296	7114
40	303	7108
41	311	7104
42	318	7091
43	325	7082
44	333	7068
45	340	7056
46	347	7044
47	355	7042
48	362	7032
49	370	7038
50	378	7036
51	385	7036
52	393	7032
53	401	7030
54	409	7032
55	416	7022
56	424	7017
57	428	6961
58	435	6950
59	443	6944
60	450	6938
61	458	6934
62	466	6933
63	473	6928
64	481	6920
65	488	6915
66	496	6911
67	503	6902
68	510	6893
69	518	6886
70	525	6877
71	532	6867
72	540	6859
73	547	6850
74	554	6843
75	562	6833
76	569	6825
77	574	6795
78	582	6787
79	589	6778
80	596	6772
81	603	6761
82	611	6755
83	618	6741
84	625	6734
85	633	6728
86	640	6721
87	647	6712
88	655	6705
89	662	6698
90	669	6691
91	676	6677
92	683	6668
93	691	6665
94	699	6661
95	706	6652
96	713	6642
97	721	6637
98	728	6629
99	736	6630
100	743	6618
101	751	6613
102	758	6604
103	766	6602
104	776	6616
105	783	6607
106	791	6603
107	798	6595
108	805	6587
109	813	6580
110	820	6570
111	827	6559
112	834	6552
113	842	6545
114	849	6538
115	857	6530
116	864	6522
117	871	6514
118	879	6507
119	886	6503
120	894	6496
121	901	6490
122	910	6494
123	918	6487
124	925	6480
125	933	6473
126	940	6464
127	947	6454
128	954	6446
129	962	6440
130	969	6434
131	977	6427
132	984	6420
133	992	6414
134	999	6406
135	1007	6398
136	1014	6390
137	1021	6379
138	1028	6370
139	1035	6358
140	1042	6350
141	1049	6341
142	1056	6333
143	1064	6324
144	1071	6318
145	1078	6310
146	1086	6303
147	1093	6297
148	1101	6288
149	1108	6282
150	1116	6277
151	1123	6267
152	1130	6259
153	1137	6250
154	1145	6244
155	1152	6236
156	1160	6230
157	1167	6222
158	1174	6213
159	1181	6203
160	1189	6196
161	1196	6188
162	1203	6179
163	1211	6173
164	1218	6164
165	1225	6155
166	1232	6146
167	1239	6139
168	1246	6131
169	1254	6123
170	1262	6118
171	1269	6111
172	1276	6102
173	1284	6096
174	1291	6090
175	1298	6081
176	1306	6073
177	1313	6065
178	1320	6058
179	1328	6052
180	1335	6044
181	1343	6036
182	1350	6029
183	1358	6023
184	1366	6019
185	1373	6011
186	1381	6004
187	1388	5997
188	1395	5989
189	1403	5981
190	1410	5973
191	1417	5967
192	1425	5958
193	1432	5951
194	1439	5942
195	1446	5934
196	1454	5927
197	1462	5923
198	1469	5915
199	1477	5908
200	1484	5901
201	1491	5893
202	1499	5886
203	1506	5879
204	1514	5873
205	1521	5864
206	1529	5857
207	1536	5851
208	1544	5843
209	1551	5835
210	1558	5828
211	1565	5819
212	1573	5812
213	1580	5803
214	1587	5794
215	1594	5787
216	1602	5780
217	1609	5772
218	1616	5765
219	1624	5758
220	1631	5750
221	1638	5743
222	1646	5736
223	1653	5728
224	1660	5719
225	1668	5712
226	1675	5705
227	1682	5697
228	1690	5689
229	1697	5682
230	1704	5675
231	1712	5667
232	1719	5659
233	1726	5650
234	1733	5642
235	1739	5632
236	1747	5624
237	1754	5616
238	1764	5617
239	1771	5609
240	1778	5601
241	1785	5593
242	1792	5585
243	1799	5576
244	1807	5569
245	1814	5560
246	1821	5551
247	1828	5544
248	1835	5536
249	1842	5528
250	1849	5520
251	1857	5512
252	1863	5502
253	1870	5494
254	1878	5486
255	1884	5477
256	1891	5469
257	1899	5461
258	1905	5452
259	1912	5444
260	1919	5435
261	1927	5428
262	1933	5418
263	1940	5409
264	1947	5401
265	1955	5396
266	1962	5388
267	1970	5381
268	1977	5372
269	1983	5363
270	1990	5355
271	1997	5346
272	2004	5337
273	2011	5328
274	2018	5320
275	2025	5312
276	2032	5305
277	2039	5296
278	2045	5287
279	2053	5280
280	2060	5272
281	2068	5265
282	2075	5258
283	2083	5252
284	2091	5246
285	2098	5239
286	2105	5231
287	2113	5225
288	2120	5218
289	2129	5212
290	2137	5207
291	2144	5199
292	2151	5192
293	2160	5188
294	2167	5180
295	2175	5173
296	2182	5166
297	2191	5161
298	2198	5153
299	2205	5145
300	2211	5136
301	2219	5128
302	2226	5122
303	2233	5114
304	2240	5105
305	2247	5097
306	2254	5088
307	2261	5080
308	2268	5072
309	2275	5064
310	2282	5057
311	2290	5050
312	2298	5043
313	2305	5036
314	2312	5028
315	2319	5021
316	2326	5013
317	2334	5006
318	2341	4999
319	2348	4991
320	2356	4983
321	2363	4975
322	2370	4968
323	2377	4960
324	2385	4954
325	2392	4946
326	2399	4939
327	2407	4931
328	2414	4923
329	2421	4916
330	2428	4909
331	2435	4901
332	2443	4894
333	2451	4888
334	2458	4881
335	2466	4874
336	2474	4867
337	2481	4859
338	2488	4852
